,2018-10-12,2018-10-19,2018-10-26,2018-11-02,2018-11-09,2018-11-16,2018-11-23,2018-11-30,2018-12-07,2018-12-14,2018-12-21,2018-12-28,2019-01-04,2019-01-11,2019-01-18,2019-01-25,2019-02-01,2019-02-08,2019-02-15,2019-02-22,2019-03-01,2019-03-08,2019-03-15,2019-03-22,2019-03-29,2019-04-05,2019-04-12,2019-04-19,2019-04-26,2019-05-03,2019-05-10,2019-05-17,2019-05-24,2019-05-31,2019-06-07,2019-06-14,2019-06-21,2019-06-28,2019-07-05,2019-07-12,2019-07-19,2019-07-26,2019-08-02,2019-08-09,2019-08-16,2019-08-23,2019-08-30,2019-09-06,2019-09-13,2019-09-20,2019-09-27,2019-10-04,2019-10-11,2019-10-18,2019-10-25,2019-11-01,2019-11-08,2019-11-15,2019-11-22,2019-11-29,2019-12-06,2019-12-13,2019-12-20,2019-12-27,2020-01-03,2020-01-10,2020-01-17,2020-01-24,2020-01-31,2020-02-07,2020-02-14,2020-02-21,2020-02-28,2020-03-06,2020-03-13,2020-03-20,2020-03-27,2020-04-03,2020-04-10,2020-04-17,2020-04-24,2020-05-01,2020-05-08,2020-05-15,2020-05-22,2020-05-29,2020-06-05,2020-06-12,2020-06-19,2020-06-26,2020-07-03,2020-07-10,2020-07-17,2020-07-24,2020-07-31,2020-08-07,2020-08-14,2020-08-21,2020-08-28,2020-09-04,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-06,2020-11-13,2020-11-20,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2020-12-25,2021-01-01,2021-01-08,2021-01-15,2021-01-22,2021-01-29,2021-02-05,2021-02-12,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-03-19,2021-03-26,2021-04-02,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09,2021-07-16
0,000651.SZ,600036.SH,600036.SH,600519.SH,600519.SH,600519.SH,000858.SZ,600036.SH,600036.SH,000333.SZ,601318.SH,600036.SH,600519.SH,600519.SH,600519.SH,000001.SZ,601166.SH,600000.SH,600519.SH,600036.SH,600519.SH,000651.SZ,601318.SH,601318.SH,600276.SH,600036.SH,601888.SH,601166.SH,002727.SZ,600276.SH,601336.SH,002179.SZ,300498.SZ,300498.SZ,601166.SH,600519.SH,000333.SZ,300347.SZ,603259.SH,300760.SZ,000002.SZ,002415.SZ,300498.SZ,000858.SZ,000858.SZ,300760.SZ,000333.SZ,600036.SH,600036.SH,000001.SZ,000001.SZ,300413.SZ,600036.SH,000538.SZ,601688.SH,000651.SZ,000333.SZ,002415.SZ,000977.SZ,000725.SZ,000651.SZ,601318.SH,600036.SH,600519.SH,600036.SH,600276.SH,000661.SZ,300750.SZ,600000.SH,600519.SH,600519.SH,603259.SH,300033.SZ,300760.SZ,600760.SH,002460.SZ,603259.SH,603288.SH,000858.SZ,600519.SH,002007.SZ,002475.SZ,603986.SH,002916.SZ,603939.SH,600276.SH,000725.SZ,000661.SZ,002475.SZ,600406.SH,601688.SH,601318.SH,601318.SH,300433.SZ,002475.SZ,600519.SH,600036.SH,600893.SH,600031.SH,300285.SZ,000661.SZ,000001.SZ,000625.SZ,300750.SZ,002475.SZ,600887.SH,002271.SZ,002241.SZ,601601.SH,600009.SH,600346.SH,601318.SH,603501.SH,601012.SH,600276.SH,601012.SH,300059.SZ,600309.SH,600036.SH,601318.SH,002475.SZ,300750.SZ,300750.SZ,300760.SZ,601166.SH,600036.SH,600036.SH,601012.SH,603259.SH,600036.SH,300782.SZ,000725.SZ,600519.SH,300750.SZ,601166.SH,000858.SZ,603288.SH,300059.SZ,300124.SZ,600276.SH,002475.SZ,601012.SH,000625.SZ,600809.SH,601919.SH
1,002032.SZ,601166.SH,600000.SH,000858.SZ,000858.SZ,000858.SZ,002304.SZ,601166.SH,601166.SH,000651.SZ,601066.SH,601288.SH,000860.SZ,002304.SZ,000858.SZ,601166.SH,600036.SH,600015.SH,000858.SZ,600000.SH,000858.SZ,000333.SZ,600030.SH,300059.SZ,000538.SZ,000001.SZ,600258.SH,601398.SH,600436.SH,600436.SH,300059.SZ,000547.SZ,002714.SZ,002714.SZ,600036.SH,000858.SZ,000651.SZ,600867.SH,300760.SZ,000999.SZ,600848.SH,002475.SZ,002714.SZ,002304.SZ,600519.SH,000538.SZ,600690.SH,000001.SZ,601398.SH,600036.SH,600000.SH,002739.SZ,600016.SH,000423.SZ,601601.SH,000333.SZ,600690.SH,600703.SH,002230.SZ,002475.SZ,000333.SZ,600030.SH,601398.SH,600887.SH,000001.SZ,300015.SZ,300015.SZ,600406.SH,600015.SH,600887.SH,000858.SZ,300760.SZ,600570.SH,300003.SZ,601698.SH,002466.SZ,600276.SH,600519.SH,600519.SH,000858.SZ,603259.SH,000725.SZ,002008.SZ,603501.SH,300529.SZ,300015.SZ,300136.SZ,300760.SZ,000100.SZ,601012.SH,600109.SH,600030.SH,601688.SH,603986.SH,300136.SZ,300146.SZ,002142.SZ,600118.SH,601100.SH,000703.SZ,300122.SZ,600036.SH,002085.SZ,601012.SH,002241.SZ,600519.SH,000786.SZ,603501.SH,600109.SH,601111.SH,601233.SH,300059.SZ,002384.SZ,300750.SZ,300760.SZ,300274.SZ,600999.SH,600028.SH,601166.SH,300059.SZ,603501.SH,300274.SZ,601012.SH,603882.SH,000001.SZ,601939.SH,601166.SH,600438.SH,300759.SZ,601328.SH,600460.SH,300782.SZ,000858.SZ,601012.SH,601169.SH,600519.SH,600519.SH,601318.SH,600438.SH,603259.SH,300661.SZ,600406.SH,601689.SH,000858.SZ,002352.SZ
2,002035.SZ,601939.SH,601166.SH,002304.SZ,000860.SZ,002507.SZ,600887.SH,000001.SZ,601398.SH,002035.SZ,600061.SH,601328.SH,600809.SH,000858.SZ,002304.SZ,601398.SH,000001.SZ,601838.SH,002507.SZ,601288.SH,000568.SZ,002032.SZ,601688.SH,601336.SH,300760.SZ,601009.SH,605108.SH,600016.SH,300122.SZ,600332.SH,601688.SH,002013.SZ,002385.SZ,600298.SH,601009.SH,600887.SH,002032.SZ,603259.SH,300347.SZ,002044.SZ,601155.SH,600183.SH,002157.SZ,600519.SH,603288.SH,603259.SH,000651.SZ,601166.SH,600000.SH,600000.SH,601009.SH,300058.SZ,601939.SH,300142.SZ,600030.SH,600690.SH,000651.SZ,603160.SH,002410.SZ,000100.SZ,002032.SZ,601336.SH,000001.SZ,002304.SZ,601398.SH,300347.SZ,603259.SH,601877.SH,601838.SH,000858.SZ,600809.SH,300003.SZ,002439.SZ,600276.SH,600038.SH,603799.SH,300015.SZ,000895.SZ,600887.SH,000895.SZ,603882.SH,601138.SH,300136.SZ,002049.SZ,300760.SZ,300601.SZ,002456.SZ,002262.SZ,000725.SZ,600438.SH,601318.SH,600837.SH,002797.SZ,002384.SZ,000725.SZ,000895.SZ,601166.SH,600760.SH,603486.SH,600143.SH,300676.SZ,601166.SH,600660.SH,300118.SZ,300433.SZ,000858.SZ,601865.SH,603986.SH,600030.SH,600004.SH,600028.SH,600030.SH,002600.SZ,300124.SZ,300122.SZ,600406.SH,601108.SH,002812.SZ,600919.SH,601601.SH,000100.SZ,600885.SH,600438.SH,300003.SZ,600036.SH,000001.SZ,601328.SH,600406.SH,300677.SZ,000001.SZ,002241.SZ,002241.SZ,600779.SH,300124.SZ,601658.SH,000799.SZ,000858.SZ,601377.SH,002129.SZ,603939.SH,600745.SH,300750.SZ,601717.SH,600887.SH,600057.SH
3,002508.SZ,601328.SH,601328.SH,600887.SH,002507.SZ,000860.SZ,600519.SH,600000.SH,601939.SH,002614.SZ,600816.SH,601166.SH,002557.SZ,600887.SH,002507.SZ,600016.SH,601328.SH,601860.SH,603288.SH,000001.SZ,600887.SH,000921.SZ,601377.SH,002673.SZ,603259.SH,600016.SH,000888.SZ,601229.SH,300347.SZ,000650.SZ,601108.SH,300123.SZ,600298.SH,000876.SZ,601288.SH,603288.SH,600690.SH,000538.SZ,000661.SZ,300633.SZ,600748.SH,002236.SZ,600201.SH,600600.SH,600600.SH,603939.SH,002508.SZ,600016.SH,600016.SH,600016.SH,601229.SH,002555.SZ,601288.SH,300760.SZ,601211.SH,002508.SZ,002242.SZ,002475.SZ,300496.SZ,300433.SZ,002705.SZ,601601.SH,601166.SH,000568.SZ,601166.SH,000513.SZ,300347.SZ,002506.SZ,601860.SH,002304.SZ,002507.SZ,000999.SZ,002180.SZ,300015.SZ,002465.SZ,600489.SH,300676.SZ,000858.SZ,000895.SZ,600887.SH,002001.SZ,002415.SZ,002241.SZ,002008.SZ,300595.SZ,603259.SH,002384.SZ,603127.SH,002402.SZ,002129.SZ,600030.SH,601688.SH,600030.SH,603501.SH,002600.SZ,000568.SZ,601288.SH,000768.SZ,600835.SH,600176.SH,600196.SH,601288.SH,600741.SH,600406.SH,000725.SZ,002304.SZ,000877.SZ,300433.SZ,300059.SZ,601919.SH,002493.SZ,601601.SH,600703.SH,002129.SZ,600529.SH,600438.SH,600030.SH,600346.SH,000001.SZ,600030.SH,002008.SZ,601012.SH,300124.SZ,300122.SZ,601658.SH,601166.SH,000001.SZ,002129.SZ,603939.SH,601398.SH,002138.SZ,002371.SZ,600809.SH,603659.SH,601328.SH,603866.SH,600809.SH,600030.SH,002074.SZ,300760.SZ,600460.SH,002129.SZ,002048.SZ,600519.SH,002010.SZ
4,002677.SZ,600016.SH,000001.SZ,000568.SZ,002304.SZ,000568.SZ,000568.SZ,601398.SH,000001.SZ,002677.SZ,601788.SH,601229.SH,603369.SH,603288.SH,603288.SH,600036.SH,600016.SH,601916.SH,000568.SZ,601166.SH,600809.SH,002050.SZ,601601.SH,000686.SZ,000423.SZ,601988.SH,002033.SZ,601988.SH,000423.SZ,002727.SZ,600030.SH,600760.SH,600737.SH,000998.SZ,600000.SH,600600.SH,000921.SZ,300760.SZ,000538.SZ,603259.SH,600648.SH,600703.SH,002385.SZ,000895.SZ,000596.SZ,000650.SZ,002050.SZ,601288.SH,601166.SH,601288.SH,601166.SH,002624.SZ,601229.SH,002001.SZ,601628.SH,002050.SZ,002050.SZ,002371.SZ,300454.SZ,603501.SH,002035.SZ,300059.SZ,600016.SH,300146.SZ,002142.SZ,300760.SZ,002001.SZ,601012.SH,601916.SH,000596.SZ,002304.SZ,300122.SZ,300454.SZ,000538.SZ,600118.SH,600547.SH,300142.SZ,600132.SH,600872.SH,603288.SH,300347.SZ,002916.SZ,002273.SZ,300661.SZ,300347.SZ,300003.SZ,002475.SZ,300601.SZ,002371.SZ,300750.SZ,601336.SH,601336.SH,300059.SZ,300782.SZ,300327.SZ,000858.SZ,600016.SH,600967.SH,002367.SZ,002812.SZ,300142.SZ,600000.SH,002488.SZ,600438.SH,002600.SZ,000799.SZ,002791.SZ,002138.SZ,601336.SH,600029.SH,601216.SH,601211.SH,600460.SH,603659.SH,603939.SH,002202.SZ,601696.SH,002080.SZ,002142.SZ,000776.SZ,600745.SH,601615.SH,600885.SH,300347.SZ,002142.SZ,601009.SH,601398.SH,300124.SZ,600196.SH,600000.SH,300136.SZ,002236.SZ,600872.SH,002706.SZ,601009.SH,000568.SZ,000568.SZ,601688.SH,601012.SH,300015.SZ,603986.SH,300274.SZ,600742.SH,000568.SZ,600704.SH
0,600271.SH,000002.SZ,600030.SH,600036.SH,601318.SH,600276.SH,600276.SH,600519.SH,600519.SH,600340.SH,600406.SH,600519.SH,002415.SZ,000651.SZ,000001.SZ,600519.SH,000333.SZ,600004.SH,000651.SZ,601318.SH,600276.SH,300015.SZ,000333.SZ,000002.SZ,002415.SZ,601225.SH,001979.SZ,002475.SZ,600031.SH,600000.SH,600588.SH,002714.SZ,600900.SH,600900.SH,300015.SZ,600036.SH,601318.SH,600585.SH,601229.SH,601888.SH,601318.SH,600036.SH,002268.SZ,601899.SH,603259.SH,000001.SZ,603259.SH,601318.SH,000651.SZ,600436.SH,600703.SH,000001.SZ,000002.SZ,601318.SH,002821.SZ,000858.SZ,002415.SZ,000876.SZ,000661.SZ,300760.SZ,000858.SZ,600036.SH,601318.SH,000001.SZ,600276.SH,600519.SH,000333.SZ,600201.SH,600004.SH,300760.SZ,603259.SH,600519.SH,300750.SZ,601166.SH,601668.SH,601088.SH,000001.SZ,002415.SZ,600031.SH,002475.SZ,000858.SZ,601166.SH,603288.SH,000651.SZ,600588.SH,601318.SH,603259.SH,300014.SZ,300760.SZ,002602.SZ,601100.SH,002008.SZ,600570.SH,002024.SZ,000661.SZ,300750.SZ,300059.SZ,002027.SZ,600585.SH,600019.SH,600426.SH,000661.SZ,601899.SH,002384.SZ,601012.SH,600036.SH,601318.SH,600036.SH,002475.SZ,300782.SZ,601012.SH,300750.SZ,601012.SH,300059.SZ,601012.SH,000725.SZ,300750.SZ,000001.SZ,300750.SZ,002230.SZ,300413.SZ,300033.SZ,002460.SZ,000001.SZ,600309.SH,600309.SH,601012.SH,600031.SH,600309.SH,601318.SH,600031.SH,603259.SH,603259.SH,300782.SZ,002601.SZ,601166.SH,000333.SZ,600519.SH,300450.SZ,601012.SH,002230.SZ,300015.SZ,600570.SH,600111.SH,002230.SZ
1,002410.SZ,600606.SH,601318.SH,601166.SH,600837.SH,300015.SZ,300015.SZ,000858.SZ,000858.SZ,002146.SZ,601012.SH,600887.SH,002475.SZ,000333.SZ,601398.SH,000858.SZ,000651.SZ,000429.SZ,000333.SZ,601601.SH,002223.SZ,002044.SZ,000651.SZ,600048.SH,002475.SZ,600188.SH,000069.SZ,601138.SH,000425.SZ,601288.SH,300033.SZ,300498.SZ,600011.SH,600323.SH,300760.SZ,000001.SZ,600030.SH,600801.SH,000001.SZ,600754.SH,300059.SZ,601166.SH,000977.SZ,600489.SH,002821.SZ,600036.SH,002821.SZ,600030.SH,000333.SZ,300015.SZ,002600.SZ,600036.SH,001979.SZ,002797.SZ,300760.SZ,600887.SH,002236.SZ,300498.SZ,300003.SZ,300003.SZ,600519.SH,601166.SH,601601.SH,601398.SH,002001.SZ,002304.SZ,000651.SZ,002714.SZ,000429.SZ,300015.SZ,600276.SH,000858.SZ,601012.SH,000001.SZ,002310.SZ,601225.SH,601166.SH,600745.SH,000425.SZ,603501.SH,600519.SH,601939.SH,600519.SH,000333.SZ,000938.SZ,601628.SH,600276.SH,300750.SZ,300347.SZ,300418.SZ,600031.SH,002475.SZ,600588.SH,002127.SZ,300760.SZ,601012.SH,601318.SH,002555.SZ,002271.SZ,000932.SZ,600176.SH,300760.SZ,000975.SZ,000725.SZ,300750.SZ,000001.SZ,601601.SH,000001.SZ,000725.SZ,002415.SZ,000400.SZ,000400.SZ,300750.SZ,601318.SH,300274.SZ,600703.SH,601012.SH,601166.SH,300274.SZ,002405.SZ,002607.SZ,002230.SZ,600549.SH,600036.SH,002493.SZ,600989.SH,600438.SH,300450.SZ,600346.SH,601688.SH,300450.SZ,300760.SZ,300142.SZ,603986.SH,600346.SH,601169.SH,000651.SZ,000858.SZ,300724.SZ,300274.SZ,002153.SZ,300760.SZ,300253.SZ,002460.SZ,002439.SZ
2,002268.SZ,601155.SH,601688.SH,601328.SH,601601.SH,300142.SZ,002007.SZ,600887.SH,603288.SH,001979.SZ,002506.SZ,600809.SH,002384.SZ,600690.SH,600036.SH,002304.SZ,600690.SH,000089.SZ,600690.SH,600030.SH,300015.SZ,000513.SZ,002614.SZ,001979.SZ,601231.SH,600123.SH,002146.SZ,300136.SZ,603338.SH,600036.SH,000938.SZ,600598.SH,600674.SH,600025.SH,300347.SZ,601009.SH,601601.SH,000401.SZ,600036.SH,600138.SH,601336.SH,600016.SH,002439.SZ,603799.SH,000538.SZ,601398.SH,300760.SZ,300059.SZ,600690.SH,300347.SZ,002463.SZ,601229.SH,600048.SH,300059.SZ,603939.SH,600519.SH,601138.SH,002100.SZ,603939.SH,600276.SH,000895.SZ,601229.SH,300059.SZ,600036.SH,300347.SZ,603288.SH,002242.SZ,000735.SZ,000089.SZ,002007.SZ,300760.SZ,000860.SZ,300001.SZ,601939.SH,601186.SH,600348.SH,600016.SH,300136.SZ,000157.SZ,002371.SZ,000568.SZ,600036.SH,002557.SZ,002242.SZ,000977.SZ,601688.SH,002382.SZ,002129.SZ,300326.SZ,002174.SZ,600984.SH,603501.SH,300033.SZ,002416.SZ,300015.SZ,603606.SH,600030.SH,603888.SH,000786.SZ,002318.SZ,300285.SZ,603259.SH,600988.SH,601138.SH,300274.SZ,601818.SH,300059.SZ,601166.SH,601138.SH,002241.SZ,600885.SH,300274.SZ,300274.SZ,601601.SH,600406.SH,002241.SZ,600406.SH,601398.SH,002202.SZ,002410.SZ,002027.SZ,600570.SH,603993.SH,002142.SZ,600143.SH,002812.SZ,300274.SZ,603338.SH,600176.SH,601336.SH,000157.SZ,600276.SH,300122.SZ,000725.SZ,600028.SH,600036.SH,600690.SH,600809.SH,300751.SZ,601615.SH,300454.SZ,603259.SH,300339.SZ,601899.SH,002410.SZ
3,300253.SZ,600340.SH,300059.SZ,600016.SH,300059.SZ,002262.SZ,300142.SZ,603288.SH,000568.SZ,600048.SH,601877.SH,000568.SZ,002236.SZ,002508.SZ,601166.SH,603288.SH,000921.SZ,000088.SZ,002050.SZ,601688.SH,300122.SZ,002422.SZ,002242.SZ,000656.SZ,600183.SH,002128.SZ,600606.SH,002008.SZ,601100.SH,601169.SH,603019.SH,600298.SH,000600.SZ,601985.SH,000963.SZ,601169.SH,601688.SH,002271.SZ,002142.SZ,605108.SH,002500.SZ,601009.SH,300271.SZ,002155.SZ,300760.SZ,601166.SH,600380.SH,600837.SH,002050.SZ,002007.SZ,601138.SH,600000.SH,600383.SH,601211.SH,603259.SH,002304.SZ,600183.SH,002311.SZ,002001.SZ,300015.SZ,600872.SH,600016.SH,600837.SH,601166.SH,603259.SH,600887.SH,002508.SZ,000998.SZ,000088.SZ,000661.SZ,002007.SZ,603288.SH,300118.SZ,601288.SH,601390.SH,000937.SZ,601398.SH,002371.SZ,000528.SZ,002415.SZ,600887.SH,601288.SH,600600.SH,000921.SZ,002439.SZ,600030.SH,300244.SZ,600438.SH,600436.SH,600373.SH,000157.SZ,603986.SH,600536.SH,000829.SZ,300142.SZ,300274.SZ,601688.SH,002607.SZ,601636.SH,000778.SZ,002493.SZ,300142.SZ,002466.SZ,000021.SZ,002129.SZ,601166.SH,601319.SH,601939.SH,002138.SZ,002236.SZ,300274.SZ,002202.SZ,300001.SZ,601628.SH,600438.SH,002371.SZ,300274.SZ,002142.SZ,600438.SH,300496.SZ,300251.SZ,300454.SZ,601899.SH,601328.SH,600176.SH,601966.SH,300014.SZ,002747.SZ,002601.SZ,601211.SH,000528.SZ,603658.SH,002007.SZ,600460.SH,002064.SZ,601988.SH,002508.SZ,600887.SH,002960.SZ,603806.SH,603019.SH,300122.SZ,300496.SZ,002340.SZ,300454.SZ
4,000034.SZ,600266.SH,601601.SH,600000.SH,600030.SH,000423.SZ,601607.SH,000568.SZ,600887.SH,000656.SZ,002129.SZ,300146.SZ,002456.SZ,002032.SZ,601288.SH,002507.SZ,002668.SZ,603885.SH,002032.SZ,600837.SH,002422.SZ,002727.SZ,002035.SZ,000671.SZ,603986.SH,601857.SH,600325.SH,600703.SH,000157.SZ,600016.SH,002195.SZ,600201.SH,000543.SZ,600011.SH,002118.SZ,601398.SH,300059.SZ,002372.SZ,601328.SH,000888.SZ,600958.SH,600919.SH,300496.SZ,600547.SH,300347.SZ,601288.SH,300347.SZ,000776.SZ,600060.SH,600161.SH,600563.SH,601818.SH,600340.SH,601601.SH,600276.SH,600779.SH,002916.SZ,002458.SZ,603259.SH,300347.SZ,603288.SH,000001.SZ,600030.SH,002142.SZ,600867.SH,600872.SH,002429.SZ,002041.SZ,603885.SH,600763.SH,000538.SZ,600779.SH,300014.SZ,002142.SZ,300495.SZ,002128.SZ,601818.SH,600703.SH,300450.SZ,603986.SH,002507.SZ,600016.SH,600073.SH,002429.SZ,600570.SH,601108.SH,300601.SZ,603659.SH,300677.SZ,002624.SZ,601766.SH,002273.SZ,000938.SZ,000501.SZ,002223.SZ,002028.SZ,601628.SH,600373.SH,600720.SH,000959.SZ,600309.SH,600276.SH,002056.SZ,300661.SZ,300118.SZ,601398.SH,002939.SZ,601838.SH,300782.SZ,603501.SH,002202.SZ,300001.SZ,002129.SZ,600837.SH,600089.SH,603501.SH,600438.SH,601288.SH,002074.SZ,300454.SZ,300133.SZ,600588.SH,600392.SH,601128.SH,603605.SH,600176.SH,600406.SH,603185.SH,002493.SZ,000776.SZ,300751.SZ,300529.SZ,002382.SZ,603501.SH,600141.SH,600015.SH,002032.SZ,000568.SZ,002833.SZ,603218.SH,000158.SZ,600763.SH,002410.SZ,600392.SH,300369.SZ
